Review,Product,Rating,Username,Date
"Sesuai namanya matte banget, bener transferproof, bisa tahan seharian.",SOMETHINC Checkmatte Transferproof Lipstick,bintang 5,D***n,2024-01-27
tipe kulitku kombinasi,[Tasya Approved] SOMETHINC Holyshield! UV Watery Gel SPF 50+ PA++++,bintang 5,L***a,2024-01-27
"tipe kulitku berminyak masalah kulitku jerawat masalah kulitku pori besar
wrappingnya rapih bubble wrap dan bersegel.. senangnya",SOMETHINC [2 PCS] Paket Hemat Twinpack Low PH Jelly Cleanser,bintang 5,W***a,2024-01-27
Bagussssssss bneran dpt kipas mini super lucuuuu semiga cocok acne hempasssss,SOMETHINC [5 PCS] Paket Lengkap Acnedot Series,bintang 5,D***a,2024-01-27
"tipe kulitku normal
cocok pakai ini...

paket aman...
pelayanan oke...

ada bubble wrap..",SOMETHINC 10% Niacinamide + Moisture Sabi Beet Brightening Serum,bintang 5,S***l,2024-01-27
"Pas shadenya, tahan seharian, full coverage, nahan minyak, hasilnya ga kaya pake foundi tp alus alami. tipe kulitku  kombinasi.",SOMETHINC Badass Breathable Full Coverage 12HR Serum Foundation,bintang 5,E***y,2024-01-27
Selalu jatuh cinta sama produk somethinc 🩷,SOMETHINC [2 PCS] Firming Body Skin,bintang 5,Amelia,2024-01-27
Jatuh cinta banget sama produk2 somethinc 🩷,SOMETHINC Calm Down! PHA 3% Soothing Everyday Toner,bintang 5,Amelia,2024-01-27
Bagus,SOMETHINC Dark Spot Reducer Ampoule,bintang 5,a***e,2024-01-27
Bagus,SOMETHINC Calm Down! Skinpair Barrier Serum,bintang 5,a***e,2024-01-27
"Semoga cocok, packaging aman",SOMETHINC 3% Astaxanthin + Chlorelina Serum,bintang 5,k***r,2024-01-27
tipe kulitku berminyak,SOMETHINC Copy Paste Tinted Sunscreen SPF 40 PA++++,bintang 5,Santi,2024-01-27
"Kirimnya cpt, brg sesuai. Lumayan dpt hrg flashsale. Packing oke bgt ada bubble plus dus. Sip.",SOMETHINC 10% Niacinamide + Moisture Sabi Beet Brightening Serum,bintang 5,C***e,2024-01-27
"masalah kulitku jerawat  baru mau coba, smoga cocok",SOMETHINC BAKUCHIOL Skinpair Oil Serum,bintang 5,yeti,2024-01-27
"Baru coba, jadi belom ada koment",SOMETHINC [2 PCS] Paket Hemat Twinpack Low PH Jelly Cleanser,bintang 5,Alang,2024-01-27
Cepat sekali datangnya..,SOMETHINC 5% Niacinamide + Moisture Sabi Beet Serum,bintang 5,Adhie,2024-01-27
"paket sudah sampai, packagingnya bagus, meskipun order 1 tp diberikan box jadi aman. produk belum dicoba. sering sering adain diskon ya kak, thanks seller",[FLASH SALE] SOMETHINC ACNE SHOT AC Overnight Treatment Spot Cream,bintang 5,R***a,2024-01-27
"pengemasan baik,,brang bagus,,belum dicoba..semoga cocok..",SOMETHINC [2 PCS] The Perfect Lash - Eyelash Serum & Mascara,bintang 4,Asri,2024-01-27
"pengemasan baik,,tpi blum dicoba semoga cocok",SOMETHINC [2 PCS] Best of The Best Hooman Duo (Cushion + Powder),bintang 5,Asri,2024-01-27
