Review,Product,Rating,Username,Date
ukuran lebi kecil tp awet2 ajaaa,Skin Game Acne Warrior 10 gr,bintang 5,A***s,2023-09-02
"Aku belum pernah coba, tp suka... pengirimannya cepetttt",Skin Game Daily Kind Moisturizer,bintang 5,J***e,2023-09-02
"Botol kedua💕 cocok buat di kulit jerawat dan berminyak, ringan cepet meresap. 120ml awet bgt bs 2-3bulanan. Thanks seller",Skin Game Daily Kind Moisturizer,bintang 5,Desy,2023-09-02
"Fast delivery dan sesuai barangnya, akan update terkait kecocokannya",Skin Game Daily Kind Moisturizer,bintang 5,D***y,2023-09-02
suka bgt sama formula nya yg gampang ngeresap kekulit dan ringan bgt pokoknya luv bgt,Skin Game Daily Kind Moisturizer,bintang 5,F***a,2023-09-02
"Produk sesuai deskripsi, proses cepat, n dikemas sangat aman. Top deh! Makasih n sukses selalu 💯✨",Skin Game Daily Kind Moisturizer,bintang 5,C***y,2023-09-02
"beralih kesini, ringan dan cocok buat kulit yg rada sensitif kyak gw",Skin Game Daily Kind Moisturizer,bintang 5,S***o,2023-09-02
Terima kasih..........,Skin Game Bundle D (Theory of Everything & Acne Warrior),bintang 5,Antika,2023-09-02
"cocok di kulit berminyak, kerasa melembapkan tapi tidak berat di wajah",Skin Game Acne Warrior 10 gr,bintang 5,I***m,2023-09-02
"alhamdulillah paketnya sampe, udah udah kali order kali ini mudah2an cocok. pengiriman cepet 1 hari aja, packing aman. makasih seller sukses 😊✨️👍",Skin Game Daily Kind Facial Wash,bintang 5,Nahum,2023-09-02
"Buat jerawat mendem aku balik lagi ke skin game setelah coba berbagai obat totol jerawat, karna yang ampuh di wajahku so far cuma skin game.",Skin Game Acne Warrior 10 gr,bintang 5,Sekar,2023-09-02
"first timer bgt coba moist ini, semoga cocok di kulit aku yg tipe kombi + dry😌",Skin Game Daily Kind Moisturizer,bintang 5,g***e,2023-09-02
Pelayanan puas barang tidak rusak. Gak tanya tapi langsung sampai dengan baik,Skin Game Acne Warrior,bintang 5,N***a,2023-09-02
"gampang nyerep bagus buat pake sbelum makeup, cuman kurang lembab untukku",Skin Game Daily Kind Moisturizer,bintang 4,J***A,2023-09-02
"Enak banget teksturnya dan botol bentuk pump, higienis saat pemakaian",Skin Game Daily Kind Moisturizer,bintang 5,Dianra,2023-09-02
"Trying it for the first time, belum bisa review produknya but here to review the service. 

Paket yang datang salah produk, tapi alhamdulillah Skin Game mau tanggung jawab dengan kirim produk yang benar. 

They handle the complaint well, really appreciate the excellent service. Thank you so much!

Hopefully it will works well on me",Skin Game Daily Kind Moisturizer,bintang 5,Nadine,2023-09-02
kurang moist,Skin Game Daily Kind Moisturizer 50 ml,bintang 3,J***a,2023-09-02
Semoga cocok,Skin Game Daily Kind Moisturizer,bintang 5,i***a,2023-09-02
"Pengemasan dan pengiriman OK. Sudah pemakaian botol kedua, sejauh ini ampuh untuk merawat jerawat.",Skin Game Acne Warrior 10 gr,bintang 5,Chusna,2023-08-03
"huaa sayang bgt di aku ngga cocok, jadi tambah bnyk milia gt :(, padahal udah berharap gede bgt terus mana isinya gede.. btw kulit aku oily dan gampang jerawatan, terus juga jadi tambah berminyak hydrathing nya kuraaang bgt",Skin Game Daily Kind Moisturizer,bintang 4,sharitsa,2023-08-03
dari segi packing mohon diperhatikan lagi.. walaupun dus satuan nya masuk ke dus besar tapi kondisinya penyok.. kurang aman.. sebaiknya ditambahkan bubble wrap lagi.. kondisi barang masih aman,Skin Game Acne Warrior,bintang 4,A***n,2023-08-03
mantap,Skin Game Daily Kind Moisturizer,bintang 5,Adi,2023-08-03
bagusssss... suka banget....,Skin Game Daily Kind Moisturizer,bintang 5,Laura,2023-08-03
"Moisturizer yang to the point sebagai moisturizer. Super ringan, mungkin buat kulit tipe lain bakal kurang ngunci lembab, tapi di gw yang rewel kalau moisturizer berasa dikit aja, ini pas. Plus itu botol sampe bosen ga abis"", very good value. Salah satu produk aman untuk gw hehe",Skin Game Daily Kind Moisturizer,bintang 5,A***e,2023-08-03
Kualitas cukup baik untuk melembapkan,Skin Game Daily Kind Moisturizer,bintang 5,Shafira,2023-08-03
Pengiriman sesuai dan cepat,Skin Game Cucumist Face Mist 100 ml,bintang 5,Feredy,2023-08-03
"barang ori, pengiriman lamaaa walau di info",Skin Game Daily Kind Moisturizer,bintang 5,T***y,2023-08-03
"isinya banyak bangett, bahannya gampang menyerap, sangat worth to buy",Skin Game Daily Kind Moisturizer,bintang 5,Pandu,2023-08-03
"sudah coba yg ukuran kecil, tryta cocok . jd lanjut k ukuran besar",Skin Game Acne Warrior,bintang 5,Novandi,2023-08-03
Baru pertama x nyoba.. semoga cocok,Skin Game Daily Kind Moisturizer,bintang 5,J***n,2023-08-03
"bagus, cocok di kulit, lembab tahan lama sampai 12 jam untuk kulit normal. worth the price untuk ukurannya",Skin Game Daily Kind Moisturizer,bintang 5,U***a,2023-08-03
No review found,Skin Game Spot Guard Serum,bintang 5,m***i,2023-08-03
No review found,Skin Game Cloud Sunscreen 15gr dan 80gr,bintang 5,m***i,2023-08-03
bener² calming jerawat sesuai klaim. abis dipake juga gak bikin wajah kering dan berasa ketarik. ada efek brighteningnya juga,Skin Game Pink Hero,bintang 5,I***m,2023-08-03
"Keren, cepat pengantarannya, exp masih lama",Skin Game Acne Warrior,bintang 5,D***a,2023-08-03
"Sejauh ini cocok sih di kulit aku. Ngga lengket, nyaman dipakai. Lebih tenang juga karena aku cek udah tersertifikasi Halal MUI. Tks all",Skin Game Daily Kind Moisturizer,bintang 5,I***h,2023-08-03
"datang dalam keadaan rembes, cairan berkurang 10ml, diperkuat sealernya ya",Skin Game Daily Kind Facial Wash,bintang 2,T***o,2023-08-03
No review found,Skin Game Daily Kind Moisturizer,bintang 5,Lydia,2023-08-03
"Barang Sesuai Deskripsi, pengiriman di hari yg sama dengan berlanganan TokPed Plus.",Skin Game Daily Kind Facial Wash,bintang 5,Iwan,2023-08-03
"satu2 nya moisturizer yg ga terlalu cair, cocok di kulit muka, isinya byk, awet tmbh disayang paksu, tq ya 🥰",Skin Game Daily Kind Moisturizer,bintang 5,D***s,2023-07-04
saya merasa hanya menghidrasi beberapa jam saja,Skin Game Daily Kind Moisturizer,bintang 4,d***o,2023-07-04
"Udah pembelian ke dua. Suka sama texturenya. Mungkin saran aja dikembangkan dari segi botolnya apa lagi yang model pompa, sayang banget karena nggak bisa habis maksimal. Jadi kalau hampir2 habis harus manual ngambilnya, buma2 pompnya segala",Skin Game Daily Kind Moisturizer,bintang 5,B***u,2023-07-04
"kemasannya gede, kelembapan utk yg kulitnya kering perlu pakainya agak.banyak, teksturnya agak lengket d banding punyanya somethinc..",Skin Game Daily Kind Moisturizer,bintang 5,Amalia,2023-07-04
Goks!,Skin Game Daily Kind Moisturizer,bintang 5,Hamzah,2023-07-04
"Uda botol keempat. 
Sebagus ituu skingame",Skin Game Daily Kind Moisturizer,bintang 5,Ronaldo,2023-07-04
"ringan banget, cepat meresap, cukup menahan minyak dan melembabkan",Skin Game Daily Kind Moisturizer,bintang 5,G***s,2023-07-04
"Bahannya tidak lengket dan ringan, cocok dikulit kombinasi.. makasih",Skin Game Daily Kind Moisturizer,bintang 5,Ika,2023-07-04
"baru dipake 2 malam, sementara blom ada hasil yg signifikan",Skin Game Acne Warrior,bintang 5,Erwin,2023-07-04
"setelah pakai beberapa ***** ***** lumayan terhidrasi. sesuai dengan yang ku bayangkan. ***** ku berminyak, tapi hasilnya ga berminyak banget.
seperti nya penggunaan serum bisa lebih cepat bekerja dengan tambahan moisturizer ini. awal2 pake ada muncul jerawat, mungkin belum terbiasa jadi muncul. tapi nggak parah. purging aja. PO nya cepet kok, nggak pake lama. kirain bakal sampe 40 ***** dapet Snack hihihi... next time kalau order lagi *** yg rasa matcha ya min 🙈🙈🙈",Skin Game Daily Kind Moisturizer,bintang 5,M,2023-07-04
"sampai dengan baikkk, enak dipakai lgsg meresap dan juga ringan betulll. dapet Freebies jugak lagiiii",Skin Game Daily Kind Moisturizer,bintang 5,Safitri,2023-07-04
"kalo ga dichat, pesanan engga di konfirm, kalo engga di chat, barang pasti ga dianter2, paket tiba diluar estimasi sampai dng kurir next day, padahal lgi butuh cepat",Skin Game Acne Warrior,bintang 2,A***i,2023-07-04
"Ini pertama kali nyoba product skin game, enak bgt di kulit gampang menyerap, keren bgt skin game!",Skin Game Daily Kind Moisturizer,bintang 5,H***m,2023-07-04
